code,name,cost_type,work_type
CB-M-07-011,지주목(각재/원목),M,07
CB-M-07-012,고무밴드/결속자재,M,07
CB-M-07-013,관수자재(호스/스프링클),M,07
CB-M-07-014,방제자재(살충/살균),M,07
CB-M-07-015,수목보호재(보온/보양),M,07
CB-M-07-016,식재토(양질토),M,07
CB-M-07-017,배수층재(왕사/자갈),M,07
CB-M-07-018,수목이식자재(루트볼/마대),M,07
CB-M-07-019,수목운반보호재(완충/포장),M,07
CB-M-07-020,관수수조/임시탱크(자재),M,07
CB-L-07-001,식재 작업반(직영),L,07
CB-L-07-002,정지/식재 인부(직영),L,07
CB-L-07-003,잔디 시공 인부,L,07
CB-L-07-004,초화/지피 식재 인부,L,07
CB-L-07-005,지주대 설치 인부,L,07
CB-L-07-006,관수/유지관리 인부,L,07
CB-L-07-007,전정/관리 인부,L,07
CB-E-07-001,지게차/로더 임대,E,07
CB-E-07-002,수목운반비(운송),E,07
CB-E-07-003,양중비(수목),E,07
CB-E-07-004,살수/관수장비 임대,E,07
CB-E-07-005,식재토 운반비,E,07
CB-E-07-006,폐기물 처리비(식재 부산물),E,07
CB-S-07-001,조경식재 하도급(일반),S,07
CB-S-07-002,수목이식 하도급,S,07
CB-S-07-003,초화/지피 하도급,S,07
CB-S-07-004,잔디공사 하도급,S,07
CB-S-07-005,유지관리(초기관리) 외주,S,07

CB-M-08-001,목재데크 자재(일반),M,08
CB-M-08-002,WPC데크 자재,M,08
CB-M-08-003,휀스/난간 자재(목재/금속),M,08
CB-M-08-004,벤치/의자 자재,M,08
CB-M-08-005,파고라/정자 자재,M,08
CB-M-08-006,볼라드/차량방지 자재,M,08
CB-M-08-007,자전거거치대 자재,M,08
CB-M-08-008,안내판/표지판 자재,M,08
CB-M-08-009,탄성포장 자재(우레탄/EPDM),M,08
CB-M-08-010,놀이터 바닥재(모래/칩),M,08
CB-M-08-011,어린이놀이시설 자재,M,08
CB-M-08-012,체육시설 자재(야외기구),M,08
CB-M-08-013,울타리 기초자재(기초/앙카),M,08
CB-M-08-014,조경조명 자재(등기구/배선),M,08
CB-M-08-015,분수/수경시설 자재(노즐/배관),M,08
CB-M-08-016,수경시설 방수/실링 자재,M,08
CB-M-08-017,가비온/경관옹벽 자재,M,08
CB-M-08-018,토목섬유(시설물 기초),M,08
CB-M-08-019,기초콘크리트 부자재(시설물),M,08
CB-M-08-020,시설물 부속/볼트/철물,M,08
CB-L-08-001,시설물 설치 인부,L,08
CB-L-08-002,데크/휀스 설치 인부,L,08
CB-L-08-003,탄성포장 시공 인부,L,08
CB-L-08-004,놀이시설 설치 인부,L,08
CB-L-08-005,조경조명 설치 인부,L,08
CB-L-08-006,수경시설 설치 인부,L,08
CB-E-08-001,소형크레인/양중비,E,08
CB-E-08-002,천공/절단 장비,E,08
CB-E-08-003,시설물 검사/인증비,E,08
CB-E-08-004,수경시설 시험/시운전비,E,08
CB-S-08-001,조경시설물 공사 하도급(일반),S,08
CB-S-08-002,놀이시설 설치 하도급,S,08
CB-S-08-003,탄성포장 하도급,S,08
CB-S-08-004,수경시설 하도급,S,08
CB-S-08-005,조경조명 하도급,S,08

CB-M-09-001,경계석(화강),M,09
CB-M-09-002,보도블록(일반),M,09
CB-M-09-003,투수블록,M,09
CB-M-09-004,점자블록,M,09
CB-M-09-005,판석/디딤돌,M,09
CB-M-09-006,자연석/조경석,M,09
CB-M-09-007,줄눈재(모래/몰탈),M,09
CB-M-09-008,접착제/보수재,M,09
CB-M-09-009,기층재(보도),M,09
CB-M-09-010,블록 기초콘크리트 부자재,M,09
CB-L-09-001,석공(직영),L,09
CB-L-09-002,블록 시공 인부,L,09
CB-L-09-003,보도 정지/다짐 인부,L,09
CB-E-09-001,절단기/컷팅 장비,E,09
CB-E-09-002,다짐 장비,E,09
CB-E-09-003,운반/양중비(석재),E,09
CB-S-09-001,보도블록 공사 하도급,S,09
CB-S-09-002,석공 공사 하도급,S,09
CB-S-09-003,투수포장/블록 하도급,S,09

CB-M-10-001,가설울타리 자재,M,10
CB-M-10-002,비계 자재(강관/클램프),M,10
CB-M-10-003,현장사무실/컨테이너 자재,M,10
CB-M-10-004,가설전기 자재,M,10
CB-M-10-005,가설수도 자재,M,10
CB-M-10-006,가설도로 자재,M,10
CB-L-10-001,가설 설치 인부,L,10
CB-L-10-002,비계 설치 인부,L,10
CB-L-10-003,가설 해체 인부,L,10
CB-E-10-001,가설비(임대/설치),E,10
CB-E-10-002,비계 임대,E,10
CB-E-10-003,컨테이너 임대,E,10
CB-S-10-001,가설 공사 하도급,S,10
CB-S-10-002,비계 설치 하도급,S,10

CB-M-11-001,전선/케이블,M,11
CB-M-11-002,전선관/배관,M,11
CB-M-11-003,분전반/차단기,M,11
CB-M-11-004,조명기구(일반),M,11
CB-M-11-005,타이머/제어기기,M,11
CB-M-11-006,접지/피뢰 자재,M,11
CB-L-11-001,전기공(직영),L,11
CB-L-11-002,배선/포설 인부,L,11
CB-E-11-001,절연/접지 시험비,E,11
CB-E-11-002,고소작업차 임대,E,11
CB-S-11-001,전기 공사 하도급,S,11
CB-S-11-002,조경조명 공사 하도급,S,11

CB-M-12-001,밸브/부속,M,12
CB-M-12-002,펌프/모터(소형),M,12
CB-M-12-003,배관 자재(설비),M,12
CB-M-12-004,단열재(배관),M,12
CB-M-12-005,가스켓/실링재,M,12
CB-M-12-006,관수/자동관수 설비자재,M,12
CB-L-12-001,설비공(직영),L,12
CB-L-12-002,배관 설치 인부,L,12
CB-E-12-001,시운전/성능시험비,E,12
CB-E-12-002,압력/누수시험비,E,12
CB-S-12-001,설비 공사 하도급,S,12
CB-S-12-002,자동관수 공사 하도급,S,12

CB-M-13-001,안전모,M,13
CB-M-13-002,안전화/안전장갑,M,13
CB-M-13-003,안전조끼/보호구,M,13
CB-M-13-004,추락방지(안전대/난간),M,13
CB-M-13-005,가설휀스/안전휀스,M,13
CB-M-13-006,안전표지/유도표지,M,13
CB-M-13-007,방진/방음 자재,M,13
CB-L-13-001,안전관리자 인건비,L,13
CB-L-13-002,신호수/안전감시,L,13
CB-L-13-003,안전교육/점검 보조,L,13
CB-E-13-001,안전관리비(법정),E,13
CB-E-13-002,안전시설 설치/임대비,E,13
CB-E-13-003,안전점검/검사비,E,13
CB-E-13-004,산재/보건 관련 비용,E,13
CB-S-13-001,안전시설 설치 하도급,S,13
CB-S-13-002,비계/난간 안전시설 하도급,S,13

CB-M-99-001,소모자재(공통),M,99
CB-M-99-002,공구/부자재(못/실리콘/테이프),M,99
CB-M-99-003,연료/윤활유(소형),M,99
CB-M-99-004,보양/포장 자재,M,99
CB-M-99-005,청소/정리 자재,M,99
CB-L-99-001,현장 잡부/정리 인건비,L,99
CB-L-99-002,현장관리(공무/품질) 인건비,L,99
CB-L-99-003,야간/연장근로 수당,L,99
CB-E-99-001,운반비(공통),E,99
CB-E-99-002,폐기물 처리비(공통),E,99
CB-E-99-003,전기요금(현장),E,99
CB-E-99-004,수도요금(현장),E,99
CB-E-99-005,통신비/인터넷(현장),E,99
CB-E-99-006,장비유지/수리비(공통),E,99
CB-E-99-007,차량유류/통행료(현장),E,99
CB-E-99-008,현장 임시안전/정리 비용,E,99
CB-S-99-001,잡공종 외주(공통),S,99
CB-S-99-002,청소/정리 외주(공통),S,99
CB-O-99-001,현장운영비(식대/다과/회의),O,99
CB-O-99-002,현장사무실 운영(임차/관리),O,99
CB-O-99-003,현장 비품/사무용품,O,99
CB-O-99-004,현장 민원/대관 비용,O,99
CB-O-99-005,현장 보험/공제(현장),O,99
CB-O-99-006,현장 숙소/숙박(필요시),O,99
CB-O-99-007,현장 안전/보건 운영,O,99
CB-O-99-008,현장 측량/도면 출력,O,99
CB-O-99-009,현장 품질시험(공통),O,99
CB-O-99-010,현장 회의/보고 운영,O,99
CB-G-99-001,본사관리비(공통),G,99
CB-G-99-002,본사 임차/관리비,G,99
CB-G-99-003,회계/세무/법무 수수료,G,99
CB-G-99-004,보험료(본사),G,99
CB-G-99-005,교육/훈련비,G,99
CB-G-99-006,채용/인사비,G,99
CB-G-99-007,정보보안/IT운영비,G,99
CB-G-99-008,영업/입찰/제안 비용,G,99
CB-G-99-009,차량/교통비(본사),G,99
CB-G-99-010,대외협력/협회비,G,99
CB-P-99-001,이윤(보고용),P,99
CB-P-99-002,예비비/리스크(보고용),P,99
CB-P-99-003,금융비용/수수료(보고용),P,99
CB-P-99-004,기타(보고용),P,99
