Project_ID,Model,Field,Row_Count,Delete_Action,Risk_Class
11,projects.ApprovalPackage,project,0,DELETE_WITH_PROJECT,CASCADE
12,projects.ApprovalPackage,project,0,DELETE_WITH_PROJECT,CASCADE
13,projects.ApprovalPackage,project,0,DELETE_WITH_PROJECT,CASCADE
15,projects.ApprovalPackage,project,0,DELETE_WITH_PROJECT,CASCADE
1,projects.ProjectContract,project,0,DELETE_WITH_PROJECT,CASCADE
2,projects.ProjectContract,project,1,DELETE_WITH_PROJECT,CASCADE
4,projects.ProjectContract,project,1,DELETE_WITH_PROJECT,CASCADE
5,projects.ProjectContract,project,1,DELETE_WITH_PROJECT,CASCADE
6,projects.ProjectContract,project,1,DELETE_WITH_PROJECT,CASCADE
7,projects.ProjectContract,project,1,DELETE_WITH_PROJECT,CASCADE
8,projects.ProjectContract,project,1,DELETE_WITH_PROJECT,CASCADE
9,projects.ProjectContract,project,1,DELETE_WITH_PROJECT,CASCADE
10,projects.ProjectContract,project,1,DELETE_WITH_PROJECT,CASCADE
11,projects.ProjectContract,project,1,DELETE_WITH_PROJECT,CASCADE
12,projects.ProjectContract,project,1,DELETE_WITH_PROJECT,CASCADE
13,projects.ProjectContract,project,1,DELETE_WITH_PROJECT,CASCADE
15,projects.ProjectContract,project,1,DELETE_WITH_PROJECT,CASCADE
1,field.DailyReport,project,2,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
2,field.DailyReport,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
4,field.DailyReport,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
5,field.DailyReport,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
6,field.DailyReport,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
7,field.DailyReport,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
8,field.DailyReport,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
9,field.DailyReport,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
10,field.DailyReport,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
11,field.DailyReport,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
12,field.DailyReport,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
13,field.DailyReport,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
15,field.DailyReport,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
1,cost.CostActual,project,4,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
2,cost.CostActual,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
4,cost.CostActual,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
5,cost.CostActual,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
6,cost.CostActual,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
7,cost.CostActual,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
8,cost.CostActual,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
9,cost.CostActual,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
10,cost.CostActual,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
11,cost.CostActual,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
12,cost.CostActual,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
13,cost.CostActual,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
15,cost.CostActual,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
1,cost.RevenueRecognition,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
2,cost.RevenueRecognition,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
4,cost.RevenueRecognition,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
5,cost.RevenueRecognition,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
6,cost.RevenueRecognition,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
7,cost.RevenueRecognition,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
8,cost.RevenueRecognition,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
9,cost.RevenueRecognition,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
10,cost.RevenueRecognition,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
11,cost.RevenueRecognition,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
12,cost.RevenueRecognition,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
13,cost.RevenueRecognition,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
15,cost.RevenueRecognition,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
1,finance.CashEvent,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
2,finance.CashEvent,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
4,finance.CashEvent,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
5,finance.CashEvent,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
6,finance.CashEvent,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
7,finance.CashEvent,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
8,finance.CashEvent,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
9,finance.CashEvent,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
10,finance.CashEvent,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
11,finance.CashEvent,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
12,finance.CashEvent,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
13,finance.CashEvent,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
15,finance.CashEvent,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
1,schedule.SchedulePlan,project,1,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
2,schedule.SchedulePlan,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
4,schedule.SchedulePlan,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
5,schedule.SchedulePlan,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
6,schedule.SchedulePlan,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
7,schedule.SchedulePlan,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
8,schedule.SchedulePlan,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
9,schedule.SchedulePlan,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
10,schedule.SchedulePlan,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
11,schedule.SchedulePlan,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
12,schedule.SchedulePlan,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
13,schedule.SchedulePlan,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
15,schedule.SchedulePlan,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
1,schedule.DailyProgress,project,3,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
2,schedule.DailyProgress,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
4,schedule.DailyProgress,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
5,schedule.DailyProgress,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
6,schedule.DailyProgress,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
7,schedule.DailyProgress,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
8,schedule.DailyProgress,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
9,schedule.DailyProgress,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
10,schedule.DailyProgress,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
11,schedule.DailyProgress,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
12,schedule.DailyProgress,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
13,schedule.DailyProgress,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
15,schedule.DailyProgress,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
1,schedule.PlanChangeRequest,project,0,HOLD,UNKNOWN_PROTECT
2,schedule.PlanChangeRequest,project,0,HOLD,UNKNOWN_PROTECT
4,schedule.PlanChangeRequest,project,0,HOLD,UNKNOWN_PROTECT
5,schedule.PlanChangeRequest,project,0,HOLD,UNKNOWN_PROTECT
6,schedule.PlanChangeRequest,project,0,HOLD,UNKNOWN_PROTECT
7,schedule.PlanChangeRequest,project,0,HOLD,UNKNOWN_PROTECT
8,schedule.PlanChangeRequest,project,0,HOLD,UNKNOWN_PROTECT
9,schedule.PlanChangeRequest,project,0,HOLD,UNKNOWN_PROTECT
10,schedule.PlanChangeRequest,project,0,HOLD,UNKNOWN_PROTECT
11,schedule.PlanChangeRequest,project,0,HOLD,UNKNOWN_PROTECT
12,schedule.PlanChangeRequest,project,0,HOLD,UNKNOWN_PROTECT
13,schedule.PlanChangeRequest,project,0,HOLD,UNKNOWN_PROTECT
15,schedule.PlanChangeRequest,project,0,HOLD,UNKNOWN_PROTECT
1,contracts.ContractChange,project,1,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
2,contracts.ContractChange,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
4,contracts.ContractChange,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
5,contracts.ContractChange,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
6,contracts.ContractChange,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
7,contracts.ContractChange,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
8,contracts.ContractChange,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
9,contracts.ContractChange,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
10,contracts.ContractChange,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
11,contracts.ContractChange,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
12,contracts.ContractChange,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
13,contracts.ContractChange,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
15,contracts.ContractChange,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
1,contracts.ContractSnapshot,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
2,contracts.ContractSnapshot,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
4,contracts.ContractSnapshot,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
5,contracts.ContractSnapshot,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
6,contracts.ContractSnapshot,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
7,contracts.ContractSnapshot,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
8,contracts.ContractSnapshot,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
9,contracts.ContractSnapshot,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
10,contracts.ContractSnapshot,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
11,contracts.ContractSnapshot,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
12,contracts.ContractSnapshot,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
13,contracts.ContractSnapshot,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
15,contracts.ContractSnapshot,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
1,risk.RiskFinding,project,1,PRESERVE_REFERENCE,SET_NULL
2,risk.RiskFinding,project,0,PRESERVE_REFERENCE,SET_NULL
4,risk.RiskFinding,project,0,PRESERVE_REFERENCE,SET_NULL
5,risk.RiskFinding,project,0,PRESERVE_REFERENCE,SET_NULL
6,risk.RiskFinding,project,0,PRESERVE_REFERENCE,SET_NULL
7,risk.RiskFinding,project,0,PRESERVE_REFERENCE,SET_NULL
8,risk.RiskFinding,project,0,PRESERVE_REFERENCE,SET_NULL
9,risk.RiskFinding,project,0,PRESERVE_REFERENCE,SET_NULL
10,risk.RiskFinding,project,0,PRESERVE_REFERENCE,SET_NULL
11,risk.RiskFinding,project,0,PRESERVE_REFERENCE,SET_NULL
12,risk.RiskFinding,project,0,PRESERVE_REFERENCE,SET_NULL
13,risk.RiskFinding,project,0,PRESERVE_REFERENCE,SET_NULL
15,risk.RiskFinding,project,0,PRESERVE_REFERENCE,SET_NULL
1,audit.AuditLog,project,30,PRESERVE_AUDIT,SET_NULL
2,audit.AuditLog,project,8,PRESERVE_AUDIT,SET_NULL
4,audit.AuditLog,project,11,PRESERVE_AUDIT,SET_NULL
5,audit.AuditLog,project,7,PRESERVE_AUDIT,SET_NULL
6,audit.AuditLog,project,23,PRESERVE_AUDIT,SET_NULL
7,audit.AuditLog,project,34,PRESERVE_AUDIT,SET_NULL
8,audit.AuditLog,project,0,PRESERVE_AUDIT,SET_NULL
9,audit.AuditLog,project,0,PRESERVE_AUDIT,SET_NULL
10,audit.AuditLog,project,2,PRESERVE_AUDIT,SET_NULL
11,audit.AuditLog,project,2,PRESERVE_AUDIT,SET_NULL
12,audit.AuditLog,project,2,PRESERVE_AUDIT,SET_NULL
13,audit.AuditLog,project,0,PRESERVE_AUDIT,SET_NULL
15,audit.AuditLog,project,361,PRESERVE_AUDIT,SET_NULL
1,reports.FieldReport,project,0,DELETE_WITH_PROJECT,CASCADE
2,reports.FieldReport,project,0,DELETE_WITH_PROJECT,CASCADE
4,reports.FieldReport,project,0,DELETE_WITH_PROJECT,CASCADE
5,reports.FieldReport,project,0,DELETE_WITH_PROJECT,CASCADE
6,reports.FieldReport,project,0,DELETE_WITH_PROJECT,CASCADE
7,reports.FieldReport,project,0,DELETE_WITH_PROJECT,CASCADE
8,reports.FieldReport,project,0,DELETE_WITH_PROJECT,CASCADE
9,reports.FieldReport,project,0,DELETE_WITH_PROJECT,CASCADE
10,reports.FieldReport,project,0,DELETE_WITH_PROJECT,CASCADE
11,reports.FieldReport,project,0,DELETE_WITH_PROJECT,CASCADE
12,reports.FieldReport,project,0,DELETE_WITH_PROJECT,CASCADE
13,reports.FieldReport,project,0,DELETE_WITH_PROJECT,CASCADE
15,reports.FieldReport,project,0,DELETE_WITH_PROJECT,CASCADE
1,master.FavoriteCostItem,project,0,DELETE_WITH_PROJECT,CASCADE
2,master.FavoriteCostItem,project,0,DELETE_WITH_PROJECT,CASCADE
4,master.FavoriteCostItem,project,0,DELETE_WITH_PROJECT,CASCADE
5,master.FavoriteCostItem,project,0,DELETE_WITH_PROJECT,CASCADE
6,master.FavoriteCostItem,project,0,DELETE_WITH_PROJECT,CASCADE
7,master.FavoriteCostItem,project,0,DELETE_WITH_PROJECT,CASCADE
8,master.FavoriteCostItem,project,0,DELETE_WITH_PROJECT,CASCADE
9,master.FavoriteCostItem,project,0,DELETE_WITH_PROJECT,CASCADE
10,master.FavoriteCostItem,project,0,DELETE_WITH_PROJECT,CASCADE
11,master.FavoriteCostItem,project,0,DELETE_WITH_PROJECT,CASCADE
12,master.FavoriteCostItem,project,0,DELETE_WITH_PROJECT,CASCADE
13,master.FavoriteCostItem,project,0,DELETE_WITH_PROJECT,CASCADE
15,master.FavoriteCostItem,project,0,DELETE_WITH_PROJECT,CASCADE
1,closing.ProjectClose,project,0,DELETE_WITH_PROJECT,CASCADE
2,closing.ProjectClose,project,0,DELETE_WITH_PROJECT,CASCADE
4,closing.ProjectClose,project,0,DELETE_WITH_PROJECT,CASCADE
5,closing.ProjectClose,project,0,DELETE_WITH_PROJECT,CASCADE
6,closing.ProjectClose,project,0,DELETE_WITH_PROJECT,CASCADE
7,closing.ProjectClose,project,0,DELETE_WITH_PROJECT,CASCADE
8,closing.ProjectClose,project,0,DELETE_WITH_PROJECT,CASCADE
9,closing.ProjectClose,project,0,DELETE_WITH_PROJECT,CASCADE
10,closing.ProjectClose,project,0,DELETE_WITH_PROJECT,CASCADE
11,closing.ProjectClose,project,0,DELETE_WITH_PROJECT,CASCADE
12,closing.ProjectClose,project,0,DELETE_WITH_PROJECT,CASCADE
13,closing.ProjectClose,project,0,DELETE_WITH_PROJECT,CASCADE
15,closing.ProjectClose,project,0,DELETE_WITH_PROJECT,CASCADE
1,closing.Adjustment,project,0,DELETE_WITH_PROJECT,CASCADE
2,closing.Adjustment,project,0,DELETE_WITH_PROJECT,CASCADE
4,closing.Adjustment,project,0,DELETE_WITH_PROJECT,CASCADE
5,closing.Adjustment,project,0,DELETE_WITH_PROJECT,CASCADE
6,closing.Adjustment,project,0,DELETE_WITH_PROJECT,CASCADE
7,closing.Adjustment,project,0,DELETE_WITH_PROJECT,CASCADE
8,closing.Adjustment,project,0,DELETE_WITH_PROJECT,CASCADE
9,closing.Adjustment,project,0,DELETE_WITH_PROJECT,CASCADE
10,closing.Adjustment,project,0,DELETE_WITH_PROJECT,CASCADE
11,closing.Adjustment,project,0,DELETE_WITH_PROJECT,CASCADE
12,closing.Adjustment,project,0,DELETE_WITH_PROJECT,CASCADE
13,closing.Adjustment,project,0,DELETE_WITH_PROJECT,CASCADE
15,closing.Adjustment,project,0,DELETE_WITH_PROJECT,CASCADE
1,inventory.Warehouse,project,0,DELETE_WITH_PROJECT,CASCADE
2,inventory.Warehouse,project,1,DELETE_WITH_PROJECT,CASCADE
4,inventory.Warehouse,project,1,DELETE_WITH_PROJECT,CASCADE
5,inventory.Warehouse,project,1,DELETE_WITH_PROJECT,CASCADE
6,inventory.Warehouse,project,1,DELETE_WITH_PROJECT,CASCADE
7,inventory.Warehouse,project,1,DELETE_WITH_PROJECT,CASCADE
8,inventory.Warehouse,project,0,DELETE_WITH_PROJECT,CASCADE
9,inventory.Warehouse,project,0,DELETE_WITH_PROJECT,CASCADE
10,inventory.Warehouse,project,0,DELETE_WITH_PROJECT,CASCADE
11,inventory.Warehouse,project,0,DELETE_WITH_PROJECT,CASCADE
12,inventory.Warehouse,project,0,DELETE_WITH_PROJECT,CASCADE
13,inventory.Warehouse,project,0,DELETE_WITH_PROJECT,CASCADE
15,inventory.Warehouse,project,1,DELETE_WITH_PROJECT,CASCADE
1,inventory.Transfer,project,0,PRESERVE_REFERENCE,SET_NULL
2,inventory.Transfer,project,0,PRESERVE_REFERENCE,SET_NULL
4,inventory.Transfer,project,0,PRESERVE_REFERENCE,SET_NULL
5,inventory.Transfer,project,0,PRESERVE_REFERENCE,SET_NULL
6,inventory.Transfer,project,0,PRESERVE_REFERENCE,SET_NULL
7,inventory.Transfer,project,0,PRESERVE_REFERENCE,SET_NULL
8,inventory.Transfer,project,0,PRESERVE_REFERENCE,SET_NULL
9,inventory.Transfer,project,0,PRESERVE_REFERENCE,SET_NULL
10,inventory.Transfer,project,0,PRESERVE_REFERENCE,SET_NULL
11,inventory.Transfer,project,0,PRESERVE_REFERENCE,SET_NULL
12,inventory.Transfer,project,0,PRESERVE_REFERENCE,SET_NULL
13,inventory.Transfer,project,0,PRESERVE_REFERENCE,SET_NULL
15,inventory.Transfer,project,0,PRESERVE_REFERENCE,SET_NULL
1,inventory.IssueToWork,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
2,inventory.IssueToWork,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
4,inventory.IssueToWork,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
5,inventory.IssueToWork,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
6,inventory.IssueToWork,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
7,inventory.IssueToWork,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
8,inventory.IssueToWork,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
9,inventory.IssueToWork,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
10,inventory.IssueToWork,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
11,inventory.IssueToWork,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
12,inventory.IssueToWork,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
13,inventory.IssueToWork,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
15,inventory.IssueToWork,project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
1,labor.LaborRateTable,project,0,DELETE_WITH_PROJECT,CASCADE
2,labor.LaborRateTable,project,0,DELETE_WITH_PROJECT,CASCADE
4,labor.LaborRateTable,project,0,DELETE_WITH_PROJECT,CASCADE
5,labor.LaborRateTable,project,0,DELETE_WITH_PROJECT,CASCADE
6,labor.LaborRateTable,project,0,DELETE_WITH_PROJECT,CASCADE
7,labor.LaborRateTable,project,0,DELETE_WITH_PROJECT,CASCADE
8,labor.LaborRateTable,project,0,DELETE_WITH_PROJECT,CASCADE
9,labor.LaborRateTable,project,0,DELETE_WITH_PROJECT,CASCADE
10,labor.LaborRateTable,project,0,DELETE_WITH_PROJECT,CASCADE
11,labor.LaborRateTable,project,0,DELETE_WITH_PROJECT,CASCADE
12,labor.LaborRateTable,project,0,DELETE_WITH_PROJECT,CASCADE
13,labor.LaborRateTable,project,0,DELETE_WITH_PROJECT,CASCADE
15,labor.LaborRateTable,project,0,DELETE_WITH_PROJECT,CASCADE
1,labor.LaborWorkLedger,actual_project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
2,labor.LaborWorkLedger,actual_project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
4,labor.LaborWorkLedger,actual_project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
5,labor.LaborWorkLedger,actual_project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
6,labor.LaborWorkLedger,actual_project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
7,labor.LaborWorkLedger,actual_project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
8,labor.LaborWorkLedger,actual_project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
9,labor.LaborWorkLedger,actual_project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
10,labor.LaborWorkLedger,actual_project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
11,labor.LaborWorkLedger,actual_project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
12,labor.LaborWorkLedger,actual_project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
13,labor.LaborWorkLedger,actual_project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
15,labor.LaborWorkLedger,actual_project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
1,labor.LaborWorkLedger,report_project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
2,labor.LaborWorkLedger,report_project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
4,labor.LaborWorkLedger,report_project,0,DELETE_PROJECT_SCOPED,KNOWN_PROTECT
