Source_Model,Source_ID,Action,Object_Type,Object_ID,Project_ID,Project_Exists,Project_Code,Project_Name,Project_Is_Active,Object_Exists_If_Resolvable,Is_Approval_Action,Dashboard_Currently_Visible,Should_Be_Dashboard_Visible,Classification,Recommended_Action,Reason
AuditLog,25,APPROVAL_REJECT,APPROVAL_REQUEST,2,,NO,,,NO,YES,YES,NO,NO,PROJECTLESS_APPROVAL_LOG,PRESERVE_AUDITLOG_EXCLUDE_FROM_DASHBOARD,No active project link.
AuditLog,24,APPROVAL_APPROVE,APPROVAL_REQUEST,4,,NO,,,NO,YES,YES,NO,NO,PROJECTLESS_APPROVAL_LOG,PRESERVE_AUDITLOG_EXCLUDE_FROM_DASHBOARD,No active project link.
AuditLog,21,APPROVAL_REJECT,APPROVAL_REQUEST,4,,NO,,,NO,YES,YES,NO,NO,PROJECTLESS_APPROVAL_LOG,PRESERVE_AUDITLOG_EXCLUDE_FROM_DASHBOARD,No active project link.
AuditLog,20,APPROVAL_APPROVE,APPROVAL_REQUEST,1,,NO,,,NO,YES,YES,NO,NO,PROJECTLESS_APPROVAL_LOG,PRESERVE_AUDITLOG_EXCLUDE_FROM_DASHBOARD,No active project link.
ApprovalRequest,12,APPROVED,DAILY_PROGRESS,7,,NO,,,NO,NO,YES,NO,NO,ORPHAN_OBJECT_APPROVAL,EXCLUDE_FROM_DASHBOARD_PRESERVE_APPROVAL,Target project-scoped object cannot be resolved to an active project.
ApprovalRequest,13,APPROVED,DAILY_PROGRESS,8,,NO,,,NO,NO,YES,NO,NO,ORPHAN_OBJECT_APPROVAL,EXCLUDE_FROM_DASHBOARD_PRESERVE_APPROVAL,Target project-scoped object cannot be resolved to an active project.
ApprovalRequest,11,APPROVED,DAILY_PROGRESS,6,,NO,,,NO,NO,YES,NO,NO,ORPHAN_OBJECT_APPROVAL,EXCLUDE_FROM_DASHBOARD_PRESERVE_APPROVAL,Target project-scoped object cannot be resolved to an active project.
ApprovalRequest,10,APPROVED,DAILY_PROGRESS,5,,NO,,,NO,NO,YES,NO,NO,ORPHAN_OBJECT_APPROVAL,EXCLUDE_FROM_DASHBOARD_PRESERVE_APPROVAL,Target project-scoped object cannot be resolved to an active project.
ApprovalRequest,9,APPROVED,DAILY_PROGRESS,4,,NO,,,NO,NO,YES,NO,NO,ORPHAN_OBJECT_APPROVAL,EXCLUDE_FROM_DASHBOARD_PRESERVE_APPROVAL,Target project-scoped object cannot be resolved to an active project.
ApprovalRequest,8,APPROVED,PROJECT_BASELINE,16,,NO,,,NO,NO,YES,NO,NO,ORPHAN_OBJECT_APPROVAL,EXCLUDE_FROM_DASHBOARD_PRESERVE_APPROVAL,Target project-scoped object cannot be resolved to an active project.
ApprovalRequest,7,APPROVED,PROJECT_BASELINE,15,,NO,,,NO,NO,YES,NO,NO,ORPHAN_OBJECT_APPROVAL,EXCLUDE_FROM_DASHBOARD_PRESERVE_APPROVAL,Target project-scoped object cannot be resolved to an active project.
ApprovalRequest,2,APPROVED,DAILY_PROGRESS,2,,NO,,,NO,NO,YES,NO,NO,ORPHAN_OBJECT_APPROVAL,EXCLUDE_FROM_DASHBOARD_PRESERVE_APPROVAL,Target project-scoped object cannot be resolved to an active project.
ApprovalRequest,4,APPROVED,COST_ACTUAL,4,,NO,,,NO,NO,YES,NO,NO,ORPHAN_OBJECT_APPROVAL,EXCLUDE_FROM_DASHBOARD_PRESERVE_APPROVAL,Target project-scoped object cannot be resolved to an active project.
ApprovalRequest,1,APPROVED,COST_ACTUAL,3,,NO,,,NO,NO,YES,NO,NO,ORPHAN_OBJECT_APPROVAL,EXCLUDE_FROM_DASHBOARD_PRESERVE_APPROVAL,Target project-scoped object cannot be resolved to an active project.
